student_id,department,year_of_study,cgpa,skill_count,skills,internship_months,projects,certifications,workshops,placed
STU0001,Mechanical,3,5.0,9,"['Python', 'MongoDB', 'Linux', 'Java', 'Node.js', 'CSS', 'NLP', 'SQL', 'Django']",3,4,0,9,0
STU0002,Electrical,4,6.11,5,"['Linux', 'React', 'Docker', 'Python', 'Django']",3,3,3,7,0
STU0003,Mechanical,4,9.05,4,"['HTML', 'C++', 'Django', 'Python']",4,1,4,7,0
STU0004,Computer Science,3,6.72,11,"['SQL', 'Java', 'HTML', 'CSS', 'Machine Learning', 'Django', 'Docker', 'NLP', 'C++', 'Deep Learning', 'MongoDB']",0,3,0,7,0
STU0005,Civil,4,5.53,9,"['Git', 'SQL', 'JavaScript', 'Linux', 'Node.js', 'Java', 'Machine Learning', 'MySQL', 'Docker']",3,4,2,6,0
STU0006,Electrical,4,9.18,7,"['React', 'Machine Learning', 'Python', 'Node.js', 'HTML', 'NLP', 'Java']",3,3,3,3,1
STU0007,Computer Science,3,6.62,9,"['NLP', 'Java', 'Git', 'React', 'HTML', 'MySQL', 'Machine Learning', 'CSS', 'Django']",6,2,0,3,0
STU0008,Electronics,3,5.7,9,"['Docker', 'Node.js', 'MongoDB', 'JavaScript', 'NLP', 'Linux', 'CSS', 'SQL', 'Machine Learning']",3,1,3,6,1
STU0009,Information Science,4,8.89,8,"['Django', 'Docker', 'MongoDB', 'Machine Learning', 'JavaScript', 'AWS', 'React', 'SQL']",3,3,0,0,1
STU0010,Computer Science,4,6.63,11,"['Docker', 'Linux', 'MySQL', 'AWS', 'HTML', 'Git', 'CSS', 'React', 'Deep Learning', 'Java', 'Python']",2,2,2,3,1
STU0011,Mechanical,4,9.77,3,"['Python', 'Git', 'Deep Learning']",3,0,3,0,0
STU0012,Civil,3,8.03,10,"['Git', 'SQL', 'Java', 'Docker', 'HTML', 'Machine Learning', 'React', 'Node.js', 'AWS', 'Django']",1,4,0,0,1
STU0013,Computer Science,4,9.09,5,"['Deep Learning', 'Java', 'Django', 'Machine Learning', 'JavaScript']",6,4,4,6,1
STU0014,Civil,3,7.65,4,"['HTML', 'SQL', 'Git', 'MongoDB']",1,1,2,1,1
STU0015,Computer Science,3,9.71,9,"['HTML', 'Django', 'Node.js', 'MySQL', 'MongoDB', 'CSS', 'Deep Learning', 'Linux', 'Machine Learning']",5,1,1,5,1
