student_id,department,year_of_study,cgpa,skill_count,skills,internship_months,projects,certifications,workshops,placed,skill_diversity,total_experience,cgpa_normalized,certification_score,skill_cgpa_ratio,exp_skill_ratio,department_encoded
STU0001,Information Science,4,8.27,9,"['Power BI', 'Kafka', 'HTML', 'AWS', 'Unity', 'Swift', 'JavaScript', 'Selenium', 'Flutter']",0,1,3,8,1,9,2,0.827,14,0.970873786407767,0.2,4
STU0002,Computer Science,4,6.35,7,"['C++', 'Python', 'Kotlin', 'Embedded C', 'NLP', 'Git', 'Machine Learning']",3,4,0,0,0,7,11,0.635,0,0.9523809523809524,1.375,1
STU0003,Civil,4,5.53,10,"['Swift', 'SQL', 'Spark', 'Solidity', 'Embedded C', 'MySQL', 'Django', 'Azure', 'NLP', 'Kubernetes']",3,4,2,6,0,10,11,0.553,10,1.5313935681470137,1.0,0
STU0004,Computer Science,3,6.62,7,"['FastAPI', 'Spark', 'AWS', 'TypeScript', 'HTML', 'GCP', 'Power BI']",6,2,0,3,0,7,10,0.662,3,0.9186351706036745,1.25,1
STU0005,Information Science,4,8.89,9,"['Kubernetes', 'NLP', 'Linux', 'Node.js', 'JavaScript', 'FastAPI', 'TypeScript', 'Embedded C', 'Kafka']",3,3,0,0,1,9,9,0.889,0,0.910010111223458,0.9,4
STU0006,Information Science,4,6.79,11,"['Power BI', 'Kafka', 'MySQL', 'Embedded C', 'Git', 'Node.js', 'Azure', 'AWS', 'Machine Learning', 'Tableau', 'NLP']",0,2,0,1,0,11,4,0.679,1,1.4120667522464698,0.3333333333333333,4
STU0007,Mechanical,3,6.35,5,"['Django', 'MongoDB', 'Azure', 'Solidity', 'Node.js']",2,0,0,4,1,5,2,0.635,4,0.6802721088435374,0.3333333333333333,5
STU0008,Electrical,4,7.45,10,"['Spark', 'Deep Learning', 'HTML', 'SQL', 'Power BI', 'GCP', 'Selenium', 'Kotlin', 'NLP', 'Git']",0,3,4,3,0,10,6,0.745,11,1.183431952662722,0.5454545454545454,2
STU0009,Electronics,4,7.48,5,"['GCP', 'Tableau', 'FastAPI', 'Spark', 'C++']",5,2,0,7,1,5,9,0.748,7,0.5896226415094339,1.5,3
STU0010,Civil,4,6.49,9,"['Postman', 'Tableau', 'Machine Learning', 'AWS', 'SQL', 'Power BI', 'Linux', 'Git', 'Docker']",5,3,4,9,1,9,11,0.649,17,1.2016021361815754,1.1,0
STU0011,Computer Science,4,6.03,3,"['CSS', 'Embedded C', 'JavaScript']",5,1,4,2,0,3,7,0.603,10,0.4267425320056899,1.75,1
STU0012,Computer Science,4,6.43,4,"['Embedded C', 'Java', 'TypeScript', 'Git']",2,0,3,8,1,4,2,0.643,14,0.5383580080753702,0.4,1
STU0013,Electrical,4,8.94,6,"['Docker', 'Azure', 'Power BI', 'Postman', 'TypeScript', 'Kotlin']",1,1,4,4,1,6,3,0.8939999999999999,12,0.6036217303822938,0.42857142857142855,2
STU0014,Civil,4,9.69,3,"['GCP', 'AWS', 'Power BI']",4,4,4,5,1,3,12,0.969,13,0.28063610851262866,3.0,0
STU0015,Mechanical,4,6.25,7,"['Power BI', 'Kotlin', 'Solidity', 'Jira', 'JavaScript', 'React', 'FastAPI']",2,5,0,8,0,7,12,0.625,8,0.9655172413793104,1.5,5
STU0016,Information Science,4,9.38,5,"['GCP', 'AWS', 'TypeScript', 'Deep Learning', 'Jira']",6,4,4,4,1,5,14,0.9380000000000001,12,0.48169556840077066,2.3333333333333335,4
STU0017,Electronics,3,5.07,3,"['Figma', 'Jira', 'Azure']",5,1,1,1,0,3,7,0.507,3,0.4942339373970346,1.75,3
STU0018,Electronics,4,8.2,4,"['Selenium', 'Kotlin', 'Django', 'Tableau']",1,4,1,2,1,4,9,0.82,4,0.4347826086956522,1.8,3
STU0019,Electronics,4,5.64,4,"['Solidity', 'Unity', 'Flutter', 'Linux']",2,5,2,1,0,4,12,0.564,5,0.6024096385542169,2.4,3
STU0020,Electrical,3,6.71,11,"['Machine Learning', 'Unity', 'MySQL', 'JavaScript', 'Postman', 'Swift', 'GCP', 'HTML', 'Power BI', 'FastAPI', 'Django']",4,5,4,8,0,11,14,0.671,16,1.4267185473411155,1.1666666666666667,2
STU0021,Mechanical,3,9.65,8,"['Kotlin', 'Deep Learning', 'Selenium', 'Kubernetes', 'NLP', 'Node.js', 'MySQL', 'JavaScript']",3,2,3,0,1,8,7,0.9650000000000001,6,0.7511737089201878,0.7777777777777778,5
STU0022,Electrical,3,8.51,3,"['Figma', 'Azure', 'Swift']",0,1,3,2,0,3,2,0.851,8,0.31545741324921134,0.5,2
STU0023,Mechanical,4,8.01,10,"['Unity', 'Figma', 'Selenium', 'Postman', 'Linux', 'C++', 'Jira', 'FastAPI', 'Java', 'GCP']",7,1,3,0,1,10,9,0.8009999999999999,6,1.1098779134295227,0.8181818181818182,5
STU0024,Electrical,3,5.87,6,"['JavaScript', 'Flutter', 'Figma', 'Docker', 'React', 'GCP']",1,5,1,9,0,6,11,0.587,11,0.8733624454148472,1.5714285714285714,2
STU0025,Information Science,4,5.55,3,"['NLP', 'GCP', 'Jira']",3,0,1,5,0,3,3,0.5549999999999999,7,0.4580152671755725,0.75,4
STU0026,Information Science,4,9.02,3,"['Selenium', 'Java', 'SQL']",2,1,0,2,0,3,4,0.9019999999999999,2,0.29940119760479045,1.0,4
STU0027,Civil,3,5.98,3,"['GCP', 'Figma', 'NLP']",6,1,1,6,1,3,8,0.5980000000000001,8,0.4297994269340974,2.0,0
STU0028,Computer Science,3,8.56,5,"['GCP', 'MongoDB', 'JavaScript', 'FastAPI', 'Git']",1,4,0,6,1,5,9,0.8560000000000001,6,0.5230125523012552,1.5,1
STU0029,Electronics,3,5.88,6,"['C++', 'Spark', 'AWS', 'Embedded C', 'GCP', 'Flutter']",4,3,2,9,0,6,10,0.588,13,0.872093023255814,1.4285714285714286,3
STU0030,Information Science,4,5.03,6,"['Unity', 'Kafka', 'CSS', 'AWS', 'Selenium', 'Deep Learning']",3,2,4,0,0,6,7,0.503,8,0.9950248756218905,1.0,4
STU0031,Electronics,4,9.53,3,"['SQL', 'Flutter', 'Java']",1,5,3,6,1,3,11,0.953,12,0.2849002849002849,2.75,3
STU0032,Mechanical,4,9.79,9,"['MongoDB', 'Git', 'Tableau', 'React', 'Solidity', 'Embedded C', 'Spark', 'CSS', 'Swift']",3,4,0,4,1,9,11,0.9789999999999999,4,0.8341056533827619,1.1,5
STU0033,Computer Science,4,9.24,10,"['MongoDB', 'JavaScript', 'CSS', 'Java', 'Postman', 'Embedded C', 'Tableau', 'Unity', 'Django', 'Figma']",7,2,4,1,1,10,11,0.924,9,0.9765625,1.0,1
STU0034,Information Science,4,5.44,6,"['Kubernetes', 'JavaScript', 'Django', 'SQL', 'MySQL', 'NLP']",0,2,2,8,0,6,4,0.544,12,0.9316770186335404,0.5714285714285714,4
STU0035,Civil,4,8.83,11,"['SQL', 'JavaScript', 'React', 'Python', 'Jira', 'Linux', 'Tableau', 'Java', 'Deep Learning', 'Kafka', 'Unity']",7,3,0,8,1,11,13,0.883,8,1.1190233977619533,1.0833333333333333,0
STU0036,Mechanical,3,6.88,11,"['Solidity', 'Tableau', 'Postman', 'Kotlin', 'Azure', 'Git', 'GCP', 'Power BI', 'CSS', 'C++', 'Kafka']",6,5,4,5,1,11,16,0.688,13,1.3959390862944163,1.3333333333333333,5
STU0037,Information Science,4,9.1,3,"['NLP', 'TypeScript', 'Solidity']",6,4,4,3,1,3,14,0.9099999999999999,11,0.297029702970297,3.5,4
STU0038,Electronics,3,5.09,6,"['Node.js', 'Kotlin', 'SQL', 'Kafka', 'Power BI', 'JavaScript']",4,3,4,7,1,6,10,0.509,15,0.9852216748768473,1.4285714285714286,3
STU0039,Information Science,4,5.49,11,"['FastAPI', 'HTML', 'Figma', 'SQL', 'Spark', 'Node.js', 'C++', 'Git', 'Deep Learning', 'Power BI', 'Python']",5,5,3,3,0,11,15,0.549,9,1.694915254237288,1.25,4
STU0040,Mechanical,4,8.85,4,"['FastAPI', 'Django', 'Flutter', 'HTML']",5,2,2,3,1,4,9,0.885,7,0.40609137055837563,1.8,5
STU0041,Mechanical,4,9.61,8,"['MongoDB', 'GCP', 'FastAPI', 'Power BI', 'Python', 'JavaScript', 'MySQL', 'Tableau']",1,4,3,4,1,8,9,0.961,10,0.7540056550424129,1.0,5
STU0042,Computer Science,4,6.94,6,"['Figma', 'Docker', 'AWS', 'Machine Learning', 'MySQL', 'Kotlin']",5,0,3,1,0,6,5,0.6940000000000001,7,0.7556675062972292,0.7142857142857143,1
STU0043,Electrical,3,7.56,11,"['Kafka', 'JavaScript', 'Embedded C', 'Linux', 'Flutter', 'Solidity', 'Postman', 'Figma', 'CSS', 'Kubernetes', 'Docker']",0,0,3,7,0,11,0,0.756,13,1.2850467289719627,0.0,2
STU0044,Civil,4,8.52,6,"['Flutter', 'Solidity', 'Tableau', 'MongoDB', 'Power BI', 'Unity']",7,1,4,0,1,6,9,0.852,8,0.6302521008403361,1.2857142857142858,0
STU0045,Electrical,4,5.43,7,"['NLP', 'C++', 'MySQL', 'Swift', 'Flutter', 'Django', 'Git']",6,0,2,3,0,7,6,0.5429999999999999,7,1.088646967340591,0.75,2
STU0046,Civil,4,7.6,8,"['SQL', 'Solidity', 'Embedded C', 'HTML', 'Linux', 'Java', 'React', 'Unity']",7,1,3,4,1,8,9,0.76,10,0.9302325581395349,1.0,0
STU0047,Mechanical,4,6.49,7,"['Python', 'Unity', 'TypeScript', 'JavaScript', 'React', 'Solidity', 'Embedded C']",3,5,1,1,0,7,13,0.649,3,0.9345794392523364,1.625,5
STU0048,Mechanical,3,7.03,9,"['AWS', 'CSS', 'Solidity', 'Swift', 'Embedded C', 'HTML', 'C++', 'Java', 'Selenium']",1,0,1,2,1,9,1,0.7030000000000001,4,1.12079701120797,0.1,5
STU0049,Civil,4,9.35,9,"['Kotlin', 'Unity', 'Solidity', 'Spark', 'Deep Learning', 'Kafka', 'Postman', 'SQL', 'TypeScript']",4,5,3,7,1,9,14,0.9349999999999999,13,0.8695652173913043,1.4,0
STU0050,Mechanical,4,8.05,5,"['Postman', 'Machine Learning', 'Azure', 'Node.js', 'Figma']",6,0,1,8,1,5,6,0.805,10,0.5524861878453038,1.0,5
STU0051,Information Science,4,6.15,10,"['Kafka', 'Machine Learning', 'AWS', 'React', 'Node.js', 'Embedded C', 'Spark', 'Azure', 'Tableau', 'Docker']",0,2,2,3,0,10,4,0.615,7,1.3986013986013985,0.36363636363636365,4
STU0052,Mechanical,4,7.3,9,"['Flutter', 'Git', 'Linux', 'Python', 'TypeScript', 'Unity', 'SQL', 'Power BI', 'Jira']",0,3,0,5,1,9,6,0.73,5,1.0843373493975903,0.6,5
STU0053,Computer Science,3,5.49,11,"['Selenium', 'Jira', 'Kotlin', 'GCP', 'MongoDB', 'Solidity', 'Python', 'C++', 'JavaScript', 'Postman', 'Tableau']",7,3,0,3,0,11,13,0.549,3,1.694915254237288,1.0833333333333333,1
STU0054,Information Science,4,7.4,6,"['Unity', 'Git', 'TypeScript', 'Kotlin', 'C++', 'Docker']",7,4,1,3,1,6,15,0.74,5,0.7142857142857143,2.142857142857143,4
STU0055,Information Science,4,5.35,4,"['Linux', 'CSS', 'SQL', 'MongoDB']",7,2,0,4,0,4,11,0.5349999999999999,4,0.6299212598425197,2.2,4
STU0056,Computer Science,4,5.55,6,"['NLP', 'Embedded C', 'FastAPI', 'Flutter', 'Unity', 'Linux']",4,4,3,1,0,6,12,0.5549999999999999,7,0.916030534351145,1.7142857142857142,1
STU0057,Electronics,3,5.52,9,"['Node.js', 'Java', 'Kubernetes', 'Embedded C', 'SQL', 'Python', 'Kotlin', 'Postman', 'CSS']",4,3,2,1,0,9,10,0.5519999999999999,5,1.3803680981595092,1.0,3
STU0058,Information Science,3,8.76,8,"['NLP', 'Power BI', 'Docker', 'Linux', 'Unity', 'AWS', 'CSS', 'Kotlin']",3,3,1,9,1,8,9,0.876,11,0.819672131147541,1.0,4
STU0059,Information Science,4,5.5,3,"['Spark', 'NLP', 'MongoDB']",1,3,3,7,0,3,7,0.55,13,0.46153846153846156,1.75,4
STU0060,Information Science,3,9.56,5,"['Java', 'Swift', 'HTML', 'Node.js', 'TypeScript']",4,0,3,9,1,5,4,0.9560000000000001,15,0.47348484848484845,0.6666666666666666,4
STU0061,Computer Science,4,6.26,3,"['Machine Learning', 'Tableau', 'AWS']",2,3,1,5,0,3,8,0.626,7,0.4132231404958678,2.0,1
STU0062,Civil,3,9.64,11,"['React', 'Selenium', 'Power BI', 'Kotlin', 'Solidity', 'Git', 'Python', 'TypeScript', 'NLP', 'MongoDB', 'Tableau']",4,0,0,1,1,11,4,0.9640000000000001,1,1.0338345864661653,0.3333333333333333,0
STU0063,Mechanical,4,5.25,11,"['Kubernetes', 'Linux', 'Deep Learning', 'Unity', 'TypeScript', 'Azure', 'NLP', 'SQL', 'GCP', 'Postman', 'C++']",6,0,4,3,0,11,6,0.525,11,1.76,0.5,5
STU0064,Electrical,4,6.33,8,"['Jira', 'NLP', 'Linux', 'Embedded C', 'Kafka', 'Spark', 'Tableau', 'Git']",7,0,1,9,0,8,7,0.633,11,1.0914051841746248,0.7777777777777778,2
STU0065,Electrical,4,7.69,9,"['Docker', 'Azure', 'Solidity', 'Kubernetes', 'Spark', 'Node.js', 'Unity', 'Linux', 'FastAPI']",0,3,0,3,1,9,6,0.769,3,1.0356731875719216,0.6,2
STU0066,Electronics,4,8.04,5,"['Kotlin', 'TypeScript', 'NLP', 'AWS', 'Swift']",3,4,1,1,1,5,11,0.8039999999999999,3,0.5530973451327434,1.8333333333333333,3
STU0067,Electronics,4,6.82,9,"['Git', 'Kubernetes', 'Machine Learning', 'HTML', 'Power BI', 'FastAPI', 'Node.js', 'Swift', 'GCP']",5,3,4,7,0,9,11,0.682,15,1.1508951406649617,1.1,3
STU0068,Mechanical,4,6.43,6,"['Kubernetes', 'Docker', 'Swift', 'Java', 'MySQL', 'Deep Learning']",2,5,0,3,0,6,12,0.643,3,0.8075370121130552,1.7142857142857142,5
STU0069,Civil,4,7.91,11,"['FastAPI', 'Node.js', 'Jira', 'Azure', 'Docker', 'NLP', 'Git', 'Tableau', 'CSS', 'Figma', 'JavaScript']",2,5,3,8,1,11,12,0.791,14,1.2345679012345678,1.0,0
STU0070,Computer Science,3,7.15,9,"['Figma', 'GCP', 'Kotlin', 'Tableau', 'Git', 'AWS', 'Embedded C', 'HTML', 'Swift']",3,0,4,5,1,9,3,0.7150000000000001,13,1.1042944785276072,0.3,1
STU0071,Computer Science,4,8.45,10,"['Java', 'Kubernetes', 'CSS', 'GCP', 'SQL', 'MongoDB', 'Selenium', 'Embedded C', 'Node.js', 'Deep Learning']",3,1,4,7,1,10,5,0.845,15,1.0582010582010584,0.45454545454545453,1
STU0072,Electronics,4,8.06,9,"['Swift', 'AWS', 'Postman', 'FastAPI', 'GCP', 'MySQL', 'CSS', 'Kafka', 'Machine Learning']",4,1,4,5,1,9,6,0.806,13,0.9933774834437086,0.6,3
STU0073,Information Science,3,7.89,10,"['AWS', 'Postman', 'Swift', 'GCP', 'Jira', 'Power BI', 'TypeScript', 'Git', 'Spark', 'Linux']",3,3,0,7,1,10,9,0.7889999999999999,7,1.124859392575928,0.8181818181818182,4
STU0074,Electrical,4,5.48,7,"['FastAPI', 'React', 'Unity', 'Flutter', 'Figma', 'Swift', 'NLP']",5,5,2,9,0,7,15,0.548,13,1.0802469135802468,1.875,2
STU0075,Mechanical,4,7.44,7,"['MySQL', 'Python', 'AWS', 'TypeScript', 'Deep Learning', 'Node.js', 'Kotlin']",6,3,4,6,1,7,12,0.744,14,0.8293838862559241,1.5,5
STU0076,Electrical,4,9.56,10,"['C++', 'Postman', 'React', 'Node.js', 'Jira', 'Django', 'Swift', 'Python', 'AWS', 'Solidity']",1,3,3,3,1,10,7,0.9560000000000001,9,0.9469696969696969,0.6363636363636364,2
STU0077,Electronics,4,9.66,6,"['Java', 'Deep Learning', 'Embedded C', 'HTML', 'Power BI', 'CSS']",4,1,4,5,1,6,6,0.966,13,0.5628517823639775,0.8571428571428571,3
STU0078,Electronics,4,8.3,7,"['CSS', 'Swift', 'Machine Learning', 'Kafka', 'Django', 'Node.js', 'Spark']",6,5,2,2,1,7,16,0.8300000000000001,6,0.7526881720430108,2.0,3
